Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
="14:17:07.065.978.615",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00 1E 00 00 00 4D",="89",="40",="C7",=" ",
="14:17:07.066.282.660",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00",="B3",="40 00 00 00 00",="C8",=" ",
="14:17:07.066.581.350",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 04 00 00 00",="8C",="40 01 00 00 80",="57",=" ",
="14:17:07.066.892.560",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:07.067.194.635",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 0B 00 50 E2 9C",="89",="40",="C7",=" ",
="14:17:07.067.510.770",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:07.067.821.435",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 04 83 02 00 7E",="89",="40",="C7",=" ",
="14:17:07.068.140.030",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 1B 00 00 00",="25",=" ",
="14:17:07.068.458.985",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C4 00 00 00",="26",="40 02 00 00 01",="E3",=" ",
="14:17:07.068.748.060",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 0B 00 00 00",="42",=" ",
="14:17:07.069.039.590",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C8 00 00 00",="CE",="40 23 47 00 00",="AC",=" ",
="14:17:07.069.332.025",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 17 20 00 00 CD",="89",="40",="C7",=" ",
="14:17:07.111.109.740",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:07.111.398.715",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:07.111.689.330",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 18 20 00 40",="9B",=" ",
="14:17:07.111.984.680",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00 1E 00 00 00 4D",="89",="40",="C7",=" ",
="14:17:07.112.306.295",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00",="B3",="40 00 00 00 00",="C8",=" ",
="14:17:07.112.618.695",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 04 00 00 00",="8C",="40 01 00 00 80",="57",=" ",
="14:17:07.112.939.855",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:07.113.256.180",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 13 00 54 E2 1F",="89",="40",="C7",=" ",
="14:17:07.113.562.015",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:07.113.865.005",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 04 83 02 00 7E",="89",="40",="C7",=" ",
="14:17:07.114.172.740",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 1B 00 00 00",="25",=" ",
="14:17:07.114.472.880",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C4 00 00 00",="26",="40 02 00 00 02",="EA",=" ",
="14:17:07.114.769.530",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 0B 00 00 00",="42",=" ",
="14:17:07.115.070.160",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C8 00 00 00",="CE",="40 23 47 00 00",="AC",=" ",
="14:17:07.115.371.240",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 18 20 00 00 1F",="89",="40",="C7",=" ",
="14:17:07.158.123.905",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:07.158.417.480",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:07.158.697.960",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 19 20 00 40",="8D",=" ",
="14:17:07.158.990.170",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00 1E 00 00 00 EA",="89",="90",="F9",=" ",
="14:17:07.159.310.355",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.169.614.915",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.179.938.015",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.190.270.675",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.200.593.305",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.210.913.180",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A4 (Error)",=" ",
="14:17:07.221.260.105",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.231.583.270",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.241.920.895",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.252.255.555",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:07.263.008.700",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 19 20 00 00 09",="89",="40",="C7",=" ",
="14:17:07.313.153.250",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:07.313.462.320",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.313.760.725",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 04 20 00 40",="14",=" ",
="14:17:07.314.059.850",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00 1E 00 00 00 46",="89",="90",=" ",=" ",
="14:17:07.314.381.125",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.324.702.635",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.335.024.365",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.345.369.525",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.355.709.420",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.366.045.780",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.376.781.740",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.377.598.940",="30",="5",="5",="RdPkgConfig(A1)",="00 10 00 00",="4D",="40 00 08 65 00",="2D",=" ",
="14:17:07.377.833.485",="30",="5",="5",="RdPkgConfig(A1)",="00 02 00 00",="39",="40 64 F1 00 00",="C2",=" ",
="14:17:07.379.243.050",="31",="5",="5",="RdPkgConfig(A1)",="00 10 00 00",="5E",="40 00 08 65 00",="2D",=" ",
="14:17:07.379.497.580",="31",="5",="5",="RdPkgConfig(A1)",="00 02 00 00",="2A",="40 0E F2 00 00",="B6",=" ",
="14:17:07.388.092.715",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.398.560.160",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.404.958.250",="30",="5",="5",="RdPkgConfig(A1)",="00 0A 00 00",="68",="40 9C 0C 00 00",="8C",=" ",
="14:17:07.405.340.825",="31",="5",="5",="RdPkgConfig(A1)",="00 0A 00 00",="7B",="40 F2 0B 00 00",="0B",=" ",
="14:17:07.408.924.480",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.419.790.405",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 04 20 00 00 46",="89",="40",="C7",=" ",
="14:17:07.493.120.135",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:07.493.431.080",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.493.726.025",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 05 20 00 40",="02",=" ",
="14:17:07.494.034.260",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 E1",="89",="40",="C7",=" ",
="14:17:07.494.334.665",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="94",="40 00 00 00 00",="C8",=" ",
="14:17:07.494.630.300",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="AB",="40 01 00 00 80",="57",=" ",
="14:17:07.494.935.210",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.495.269.710",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 2B 00 50 E2 FE",="89",="40",="C7",=" ",
="14:17:07.495.505.070",="30",="5",="5",="RdPkgConfig(A1)",="00 0E 09 00",="7E",="40 00 00 00 00",="C8",=" ",
="14:17:07.495.782.890",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.496.453.950",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 D2",="89",="40",="C7",=" ",
="14:17:07.496.994.665",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 1B 00 00 00",="25",=" ",
="14:17:07.497.594.375",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="01",="40 02 00 00 05",="FF",=" ",
="14:17:07.497.915.000",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 0B 00 00 00",="42",=" ",
="14:17:07.498.216.215",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E9",="40 23 47 00 00",="AC",=" ",
="14:17:07.498.518.700",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 05 20 00 00 50",="89",="40",="C7",=" ",
="14:17:07.567.117.550",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:07.567.406.570",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.567.688.090",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 06 20 00 40",="38",=" ",
="14:17:07.567.973.735",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 E1",="89",="40",="C7",=" ",
="14:17:07.568.274.350",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="94",="40 00 00 00 00",="C8",=" ",
="14:17:07.568.570.020",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="AB",="40 01 00 00 80",="57",=" ",
="14:17:07.568.875.135",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.569.186.000",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 33 00 54 E2 7D",="89",="40",="C7",=" ",
="14:17:07.569.503.090",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.569.817.145",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 D2",="89",="40",="C7",=" ",
="14:17:07.570.131.685",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 1B 00 00 00",="25",=" ",
="14:17:07.570.423.955",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="01",="40 02 00 00 06",="F6",=" ",
="14:17:07.570.712.970",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 0B 00 00 00",="42",=" ",
="14:17:07.571.002.530",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E9",="40 23 47 00 00",="AC",=" ",
="14:17:07.571.299.515",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 06 20 00 00 6A",="89",="40",="C7",=" ",
="14:17:07.643.105.505",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:07.643.398.800",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.643.682.385",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 07 20 00 40",="2E",=" ",
="14:17:07.643.968.320",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00 1E 00 00 00 46",="89",="90",="F9",=" ",
="14:17:07.644.268.140",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.654.586.510",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.664.923.055",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.675.238.955",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.685.543.885",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.695.884.965",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.706.220.490",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.716.539.240",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.726.872.405",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.737.197.145",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F7 FE 10 00 00 00",="30",="90 00 00 00 00",="A5",=" ",
="14:17:07.744.667.305",="30",="1",="2",="GetTemp(01)",=" ",="EF",="61 F1",="39",="Temp.:42.516",
="14:17:07.747.984.460",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 07 20 00 00 7C",="89",="40",="C7",=" ",
="14:17:07.756.845.280",="31",="1",="2",="GetTemp(01)",=" ",="F9",="0E F2",="06",="Temp.:45.219",
="14:17:07.799.125.185",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:07.799.433.350",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.799.736.790",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 08 20 00 40",="FC",=" ",
="14:17:07.800.038.575",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 E1",="89",="40",="C7",=" ",
="14:17:07.800.341.715",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="94",="40 00 00 00 00",="C8",=" ",
="14:17:07.800.633.015",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="AB",="40 01 00 00 80",="57",=" ",
="14:17:07.800.930.890",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.801.228.745",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 03 00 54 E2 D4",="89",="40",="C7",=" ",
="14:17:07.801.534.655",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.801.837.970",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 D2",="89",="40",="C7",=" ",
="14:17:07.802.147.585",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 1B 00 00 00",="25",=" ",
="14:17:07.802.444.315",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="01",="40 02 00 00 00",="E4",=" ",
="14:17:07.802.742.640",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 0B 00 00 00",="42",=" ",
="14:17:07.803.038.290",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E9",="40 23 47 00 00",="AC",=" ",
="14:17:07.803.341.335",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 08 20 00 00 AE",="89",="40",="C7",=" ",
="14:17:07.858.129.775",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1C 77 77 E4",="61 (Error)",=" ",
="14:17:07.858.536.755",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.858.822.855",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 09 20 00 40",="EA",=" ",
="14:17:07.859.125.310",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00 1E 00 00 00 E1",="89",="40",="C7",=" ",
="14:17:07.859.443.960",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 10 00 00 00",="94",="40 00 00 00 00",="C8",=" ",
="14:17:07.859.803.095",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 04 00 00 00",="AB",="40 01 00 00 80",="57",=" ",
="14:17:07.860.121.700",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.860.605.220",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 0B 00 50 E2 30",="89",="40",="C7",=" ",
="14:17:07.860.939.970",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 09 00 00 00",="6E",=" ",
="14:17:07.861.253.200",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F3 FE C0 00 00 00 04 83 02 00 D2",="89",="40",="C7",=" ",
="14:17:07.861.571.520",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 1B 00 00 00",="25",=" ",
="14:17:07.861.898.730",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C4 00 00 00",="01",="40 02 00 00 01",="E3",=" ",
="14:17:07.862.209.345",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE 20 00 00 00",="3D",="40 0B 00 00 00",="42",=" ",
="14:17:07.862.500.870",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F3 FE C8 00 00 00",="E9",="40 23 47 00 00",="AC",=" ",
="14:17:07.862.892.920",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 09 20 00 00 B8",="89",="40",="C7",=" ",
="14:17:07.926.267.305",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:07.926.871.640",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
="14:17:07.927.163.460",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="BF",="40 0A 20 00 40",="D0",=" ",
="14:17:07.927.448.550",="31",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00 1E 00 00 00 2E",="89",="90",="F9",=" ",
="14:17:07.927.784.175",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:07.938.129.695",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:07.948.491.810",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:07.958.837.690",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:07.969.191.810",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:07.979.558.075",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:07.989.884.915",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:08.000.280.370",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:08.010.616.575",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:08.020.985.290",="31",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="19",="90 00 00 00 00",="A5",=" ",
="14:17:08.032.078.800",="31",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 0A 20 00 00 82",="89",="40",="C7",=" ",
="14:17:08.095.087.280",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="6E",="40 1E 77 77 E4",="61",=" ",
="14:17:08.095.432.405",="31",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="D3",="40 00 AF FE FF",="F6",=" ",
