Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
="14:17:06.976.101.450",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00 1E 00 00 00 4D",="89",="40",="C7",=" ",
="14:17:06.976.462.560",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00",="B3",="40 00 00 00 00",="C8",=" ",
="14:17:06.976.798.370",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 04 00 00 00",="8C",="40 01 00 00 80",="57",=" ",
="14:17:06.977.111.400",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:06.977.539.090",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 3B 00 54 E2 61",="89",="40",="C7",=" ",
="14:17:06.977.905.890",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:06.978.243.215",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 04 83 02 00 7E",="89",="40",="C7",=" ",
="14:17:06.978.574.755",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 1B 00 00 00",="25",=" ",
="14:17:06.978.902.690",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C4 00 00 00",="26",="40 02 00 00 07",="F1",=" ",
="14:17:06.979.213.650",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 0B 00 00 00",="42",=" ",
="14:17:06.979.518.440",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C8 00 00 00",="CE",="40 23 47 00 00",="AC",=" ",
="14:17:06.979.831.615",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 15 20 00 00 E1",="89",="40",="C7",=" ",
="14:17:07.018.122.105",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 65 77 E4",="61 (Error)",=" ",
="14:17:07.018.408.815",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:07.018.684.425",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 16 20 00 40",="5F",=" ",
="14:17:07.018.971.010",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00 1E 00 00 00 4D",="89",="40",="C7",=" ",
="14:17:07.019.283.055",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 10 00 00 00",="B3",="40 00 00 00 00",="C8",=" ",
="14:17:07.019.585.770",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 04 00 00 00",="8C",="40 01 00 00 80",="57",=" ",
="14:17:07.019.903.405",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:07.020.217.690",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 03 00 50 E2 2C",="89",="40",="C7",=" ",
="14:17:07.020.534.080",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 09 00 00 00",="6E",=" ",
="14:17:07.020.826.605",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F2 FE C0 00 00 00 04 83 02 00 7E",="89",="40",="C7",=" ",
="14:17:07.021.127.030",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 1B 00 00 00",="25",=" ",
="14:17:07.021.414.640",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C4 00 00 00",="26",="40 02 00 00 00",="E4",=" ",
="14:17:07.021.704.960",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE 20 00 00 00",="1A",="40 0B 00 00 00",="42",=" ",
="14:17:07.021.993.745",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F2 FE C8 00 00 00",="CE",="40 23 47 00 00",="AC",=" ",
="14:17:07.022.294.165",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 16 20 00 00 DB",="89",="40",="C7",=" ",
="14:17:07.065.122.460",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:07.065.413.270",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:07.065.690.640",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 17 20 00 40",="49",=" ",
